name,address,price
Ibom Icon Hotel &  Golf Resort ," - Nwaniba Road, PMB 1200",₦76500
De-Castle Luxury Home, - Plot 25 Unit F Ewet Housing ,₦12000
A And M Estate Guest House," - 7 Nung Offiong Street, Off B Line, Ewet Housing Es...",₦2500
Eemjm Hotel , - 47 Dominic Otuk Avenue Formerly Brook Street Opp W...,₦20500
Monty Suites, - 37 General Edet Akpan Avenue (four Lane): Off Nwan...,₦55000
Davok Suites , - Plot S.9 Unit G Ewet Housing Estate,₦21000
Georgetown Residence, - Plot 3 Tropicana Boulevard Opposite FIRS,₦12500
Ventola  Accommodation & Restaurant," - 1, Ekanem Close, G Line,  Ewet Housing Estate, Uyo",₦6000
Hotel Milan ," - 9 Ita Oboho Street, Off Ron Road, Or Behind Local ...",₦4000
Summit Hotel G. ," - 97 Udo Umana Street, Uyo ",₦4000
Venus Hotels And Suits Int'l Ltd," - Plot 34 Alison Attah Street, Shelter Afrique, Uyo",₦10000
Villa View Hotels Ltd, -  4 Udoinyang Street Off Park Road Itam Junction,₦5600
Mandela Queens Hotel, - 105 Calabar Itu Highway,₦10000
Keniss Guest House, - 7 Etim Umanah Road,₦2000
Hummer Hotel," - 20, Itam Park Road, Beside Unity Supermarket.",₦6000
Aqua Resort," - Ekpe Nkereuwem Close, Ewet Housing Estate",₦6300
New  Point Hotel , - 31 Atiku Abubakar Way ,₦18000
De Silva Luxury Hotel," - Plot 100, Unit L, Itam Utip Street, Ewet Housing E...",₦7500
Ghassan Hotel," - Opp. Akwa Ima Housing Estate, Ring Road 3,rnUyo",₦6000
Noble Minds Hotel, - 278 Nwaniba Road,₦3000
